主页.svg	home.svg
投屏.svg	screen-mirror.svg
关于.svg	about.svg
关闭.svg	win-close.svg
最小化.svg	win-minimize.svg
切换.svg	switch-slot.svg
刷新.svg	refresh.svg
加载.svg	loading.svg
下载.svg	download.svg
卸载.svg	uninstall.svg
应用.svg	app.svg
搜索.svg	search.svg
查看.svg	view.svg
文件.svg	file.svg
文件夹.svg	folder.svg
文档.svg	document.svg
文件传输.svg	file-transfer.svg
压缩包.svg	archive.svg
镜像文件.svg	image-file.svg
格式化SD卡.svg	format-sdcard.svg
备份.svg	backup.svg
备份数据.svg	backup-data.svg
提取.svg	extract.svg
修复.svg	repair.svg
修复Super.svg	repair-super.svg
安全隐私.svg	privacy.svg
对.svg	check.svg
圆圈.svg	circle.svg
电源.svg	power.svg
重启.svg	reboot.svg
雪花.svg	freeze.svg
解冻.svg	unfreeze.svg
静音.svg	mute.svg
音量.svg	volume.svg
锁屏.svg	lock-screen.svg
返回.svg	nav-back.svg
向上.svg	arrow-up.svg
向下.svg	arrow-down.svg
向左.svg	arrow-left.svg
安卓.svg	android-blue.svg
谷歌.svg	google.svg
酷安.svg	coolapk.svg
抖音.svg	douyin.svg
哔哩哔哩.svg	bilibili.svg
高通骁龙.svg	snapdragon.svg
基带.svg	baseband.svg
闪存.svg	flash-mem.svg
数据线.svg	data-cable.svg
拼图.svg	puzzle.svg
扳手.svg	wrench.svg
闪电.svg	lightning.svg
闪电2.svg	lightning-2.svg
橡皮.svg	eraser.svg
芯片、数据.svg	chip-data.svg
自动旋转.svg	auto-rotate.svg
横屏转竖屏.svg	landscape-to-portrait.svg
竖屏转横屏.svg	portrait-to-landscape.svg
暂停.svg	pause.svg
暂停深色.svg	pause-dark.svg
暂停红色.svg	pause-red.svg
开始.svg	start.svg
开始1.svg	start-1.svg
开始1橙色.svg	start-1-orange.svg
开始1深色.svg	start-1-dark.svg
icon_多任务.svg	icon-recents.svg
icon-小米归属.svg	icon-xiaomi.svg
ic_截屏.svg	ic-screenshot.svg
云端下载.svg	cloud-download.svg
盾牌.svg	shield.svg
